date_time_(UTC),channel,duration,https://archive.org/details/,text
2021-10-18 00:00:00,BBCNEWS,28,,REIEVAUPUE\nMF'S Tamily pay tripute
2021-10-18 00:00:00,MSNBCW,29,MSNBCW_20211017_230000_American_Voices_With_Alicia_Menendez/start/3600,. ON THE MEHDI HASAN SHOW\n. GOP COULD RETAKE HOUSE JUST BY GERRYMANDERING
2021-10-18 00:01:00,MSNBCW,18,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/60,GOP COULD RETAKE HOUSE JUST BY GERRYMANDERING\n= Rep. David Lewis. (R-Harnett)\n. GOP COULD RETAKE HOUSE JUST BY GERRYMANDERING\n[HARVARD ART MUSEUM
2021-10-18 00:02:00,MSNBCW,3,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/120,GOP COULD RETAKE HOUSE JUST BY GERRYMANDERING
2021-10-18 00:05:00,MSNBCW,31,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/300,GOP COULD RETAKE HOUSE JUST BY GERRYMANDERING\nLATE RNC REDISTRICTING DIR.. . -\n. GOP COULD RETAKE HOUSE JUST BY GERRYMANDERING
2021-10-18 00:06:00,MSNBCW,35,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/360,. GOP COULD RETAKE HOUSE JUST BY GERRYMANDERING
2021-10-18 00:07:00,MSNBCW,33,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/420,. GOP COULD RETAKE HOUSE JUST BY GERRYMANDERING\n. REPUBLICANS CHASTISE DEMS OVER 'UNFAIR' ILLINOIS MAPS\nDEMS HAVE FEWER PLACES TO GAIN BY GERRYMANDERING
2021-10-18 00:08:00,BBCNEWS,22,,rungary's opposition primaries. Peter Marki-Zay will stand against Viktor Orban in 2O22 elections\nbl Clinton leaves hospital. Former US president received treatment for infection\neIl kT hiFA. . US govt: doesn't know location of...
2021-10-18 00:08:00,MSNBCW,21,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/480,KINZINGER'S SEAT COULD BE ELIMINATED BY GERRYMANDERING\nDEMS HAVE FEWER PLACES TO GAIN BY GERRYMANDERING
2021-10-18 00:09:00,BBCNEWS,21,,BBENEWS BN\nCanary Islands voicano eruption. Scientists see no end to the eruption on the island of La Palma
2021-10-18 00:09:00,MSNBCW,22,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/540,. GOP COULD RETAKE HOUSE JUST BY GERRYMANDERING\n. SENATE TO VOTE NEXT WEEK ON 'FREEDOM TO VOTE' ACT\nDEMS HAVE FEWER PLACES TO GAIN BY GERRYMANDERING
2021-10-18 00:10:00,BBCNEWS,14,,BIBENEWS NEWSDAY
2021-10-18 00:10:00,MSNBCW,34,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/600,DEMS HAVE FEWER PLACES TO GAIN BY GERRYMANDERING
2021-10-18 00:11:00,MSNBCW,45,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/660,DEMS HAVE FEWER PLACES TO GAIN BY GERRYMANDERING\n. KUMAIL NANJIANI SHATTERING STEREOTYPES
2021-10-18 00:12:00,BBCNEWS,21,,BBENEWS BN\nWNO118 O]. . US: Pyongyang must give up nuclear weapons\nNorth Korea. . US: No lifting sanctions without nuclear agreement\n(O118O1. ....
2021-10-18 00:12:00,MSNBCW,5,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/720,I KUMAIL NANJIANI SHATTERING STEREOTYPES
2021-10-18 00:13:00,BBCNEWS,11,,"(O1181. . International sanctions in place against Pyongyang\n(O118O1. . Cyber crime helping to fund military programmes\nNorth Korea. . Regime believed to have over 6,OOO skilled hackers\nWNO118..."
2021-10-18 00:13:00,MSNBCW,5,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/780,See our ad in Shape.
2021-10-18 00:14:00,BBCNEWS,16,,"WNO118 O]. . US: Pyongyang must give up nuclear weapons\nWNO118 O]. . Kim Jong-un: We will build an \""invincible military\""\nWO8 (]. . US: No lifting sanctions without nuclear agreement\nNorth..."
2021-10-18 00:14:00,FOXNEWSW,7,FOXNEWSW_20211018_000000_Life_Liberty__Levin/start/840,hnician since 2O1O\nlexus.com/GX
2021-10-18 00:15:00,BBCNEWS,18,,'Million pound planet prize\nNorth Korea. . Regime's has nuclear & ballistic missile programmes\nNorth Korea. . International sanctions in place against Pyongyang
2021-10-18 00:16:00,BBCNEWS,12,,m (LIRS Gl against humanity\nm president of the newly independent Zambia
2021-10-18 00:16:00,MSNBCW,16,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/960,E TRUMP EMBROILED IN NUMEROUS LEGAL BATTLES
2021-10-18 00:17:00,BBCNEWS,10,BBCNEWS_20211018_000000_Newsday/start/1020,pay tripute
2021-10-18 00:17:00,FOXNEWSW,6,FOXNEWSW_20211018_000000_Life_Liberty__Levin/start/1020,"Limited time offer. Restrictions apply. Not available in all areas. New Comcast Business 35 Mbps Internet and 1 Voice line. customers only. Early termination fee applies. Equipment, installation, taxes and other fees extra and subject to change. Prepaid. card offer ends 12/21/21. Call for restrictions and complete details."
2021-10-18 00:17:00,MSNBCW,13,MSNBCW_20211018_000000_The_Mehdi_Hasan_Show/start/1020,". TRUMP SUING NIECE, NEW YORK TIMES OVER TAX RECORDS\nl MARY TRUMP'S LAWYER CALLS LAWSUIT \""FRIVOLOUS\"
2021-10-18 00:18:00,FOXNEWSW,13,FOXNEWSW_20211018_000000_Life_Liberty__Levin/start/1080,BRENT BOZELL. MEDIA RESEARCH CENTER FOUNDER AND PRESIDENT
