date_time_(UTC)	channel	duration	https://archive.org/details/	text
2020-11-24 00:00:00	CNNW	8	CNNW_20201123_230000_The_Situation_Room_With_Wolf_Blitzer/start/3600	IN MEMORY: FRANK AND TROFIMENA FRAULO
2020-11-24 00:00:00	MSNBCW	7	MSNBCW_20201123_230000_The_Beat_With_Ari_Melber/start/3600	ARI FACT CHECKS TRUMP CAMPAIGN LAWYER ON THE BEAT
2020-11-24 00:01:00	CNNW	12	CNNW_20201124_000000_Erin_Burnett_OutFront/start/60	GSA TELLS BIDEN TRANSITION CAN FORMALLY BEGIN, FIRST. STEP TRUMP ADMIN HAS TAKEN TO ACKNOWLEDGE DEFEAT
2020-11-24 00:01:00	MSNBCW	4	MSNBCW_20201124_000000_The_ReidOut/start/60	GSA TELLS BIDEN IT IS READY TO BEGIN TRANSITION
2020-11-24 00:02:00	BBCNEWS	8	BBCNEWS_20201124_000000_BBC_World_News/start/120	US Presidential transition. President Twmp: | recommend GSA do what needs to be done
2020-11-24 00:03:00	BBCNEWS	5	BBCNEWS_20201124_000000_BBC_World_News/start/180	US Presidential transition. Emily Murphy's statement contvadicts Trump's tweet
2020-11-24 00:03:00	CNNW	8	CNNW_20201124_000000_Erin_Burnett_OutFront/start/180	SENIOR WH OFFICIAL: SOME WH STAFFERS CAUGHT OFF GUARD. BY GSA LETTER SAYING BIDEN TRANSITION CAN FORMALLY BEGIN
2020-11-24 00:03:00	FOXNEWSW	8	FOXNEWSW_20201124_000000_The_Story_With_Martha_MacCallum/start/180	. GSA TELLS BIDEN TRANSITION CAN FORMALLY BEGIN. I
2020-11-24 00:03:00	MSNBCW	9	MSNBCW_20201124_000000_The_ReidOut/start/180	MICHIGAN CERTIFIES JOE BIDEN AS ELECTION WINNER
2020-11-24 00:04:00	BBCNEWS	7	BBCNEWS_20201124_000000_BBC_World_News/start/240	US Presidential transition starts. General Services Administiaiinn says transition can formally begin
2020-11-24 00:04:00	CNNW	5	CNNW_20201124_000000_Erin_Burnett_OutFront/start/240	GSA TELLS BIDEN TRANSITION CAN FORMALLY BEGIN AS TRUMP'S. LEGAL OPTIONS TO OVERTURN ELECTION RESULTS DWINDLE\nSENIOR WH OFFICIAL: SOME WH STAFFERS CAUGHT OFF GUARD. BY GSA LETTER SAYING BIDEN TRANSITION CAN FORMALLY BEGIN
2020-11-24 00:04:00	MSNBCW	4	MSNBCW_20201124_000000_The_ReidOut/start/240	GSA TELLS BIDEN IT IS READY TO BEGIN TRANSITION
2020-11-24 00:05:00	BBCNEWS	4	BBCNEWS_20201124_000000_BBC_World_News/start/300	US Presidential transition starts. Emily Murphy's statement contvadicts Trump's tweet
2020-11-24 00:05:00	CNNW	5	CNNW_20201124_000000_Erin_Burnett_OutFront/start/300	GSA TELLS BIDEN THAT TRANSITION CAN FORMALLY BEGIN;. REPUBLICAN CLOSE TO WH: \"IT IS OVER BLARING WAKE-UP CALL\
2020-11-24 00:05:00	FOXNEWSW	5	FOXNEWSW_20201124_000000_The_Story_With_Martha_MacCallum/start/300	. THE POLITICAL PATH AHEAD FOR PRESIDENT TRUMP. . W
2020-11-24 00:06:00	BBCNEWS	8	BBCNEWS_20201124_000000_BBC_World_News/start/360	US Presidential transition starts. Biden team will begin meeting with federal officials\nUS Presidential transition starts. GSA had until now refused to give transition go-ahead
2020-11-24 00:06:00	MSNBCW	4	MSNBCW_20201124_000000_The_ReidOut/start/360	ARI MEL-BER I \ufb02b\ufb01i\ufb02g\ufb01e BEAT\" .,
2020-11-24 00:07:00	BBCNEWS	5	BBCNEWS_20201124_000000_BBC_World_News/start/420	US Presidential transition starts. GSA: Transition as president-elect can fmmally begin
2020-11-24 00:07:00	MSNBCW	8	MSNBCW_20201124_000000_The_ReidOut/start/420	GSA TELLS BIDEN IT IS READY TO BEGIN TRANSITION
2020-11-24 00:08:00	BBCNEWS	9	BBCNEWS_20201124_000000_BBC_World_News/start/480	Political reporter, The Hill
2020-11-24 00:09:00	BBCNEWS	10	BBCNEWS_20201124_000000_BBC_World_News/start/540	US Presidential transition starts. GSA administrator says decision was \"solely mine\
2020-11-24 00:10:00	CNNW	6	CNNW_20201124_000000_Erin_Burnett_OutFront/start/600	GSA TELLS BIDEN THAT TRANSITION CAN FORMALLY BEGIN AS. MICHIGAN, MULTIPLE PA COUNTIES CERTIFY ELECTION RESULTS
2020-11-24 00:10:00	FOXNEWSW	7	FOXNEWSW_20201124_000000_The_Story_With_Martha_MacCallum/start/600	THE ROAD AHEAD FOR BIDEN'S PRESIDENCY AS TRUMP. . REPORTEDLY WANTS TO REMAIN IN SPOTLIGHT. W
