date_time_(UTC),channel,duration,https://archive.org/details/,text
2019-03-29 00:00:00,CNNW,40,CNNW_20190328_230000_Erin_Burnett_OutFront/start/3600,AT LEAST 3OO PAGES\nWHEN YOU'RE LITERALLY RUNNING FOR PRESIDENT
2019-03-29 00:01:00,CNNW,61,CNNW_20190329_000000_Anderson_Cooper_360/start/60,AT LEAST 3OO PAGES
2019-03-29 00:01:00,FOXNEWSW,29,FOXNEWSW_20190329_000000_Tucker_Carlson_Tonight/start/60,l TRUMP HOLDS FIRST RALLY SINCE END OF MUELLER PROBE\nTRUMP HOLDS FIRST RALLY SINCE END OF MUELLER PROBE
2019-03-29 00:02:00,BBCNEWS,5,BBCNEWS_20190329_000000_Newsday/start/120,DAVID LIDINGTON. Cabinet Office Minister
2019-03-29 00:02:00,MSNBCW,19,MSNBCW_20190329_000000_All_In_With_Chris_Hayes/start/120,I HOUSE INTEL. REPUBLICANS CALL FOR SCHIFF TO RESIGN AS CHAIR '
2019-03-29 00:03:00,BBCNEWS,8,BBCNEWS_20190329_000000_Newsday/start/180,STEPHEN DOUGHTV. Labour MP
2019-03-29 00:03:00,CNNW,47,CNNW_20190329_000000_Anderson_Cooper_360/start/180,"AT LEAST 3OO PAGES. . . . Rec. Adam SChiff I D Chairman, Intellience Committee\nAT LEAST 3OO PAGES"
2019-03-29 00:03:00,FOXNEWSW,25,FOXNEWSW_20190329_000000_Tucker_Carlson_Tonight/start/180,"TRUMP: AFTER 3 YEARS OF LIES, SMEARS. & SLANDER THE RUSSIA HOAX IS FINALLY DEAD\na l _. FLRUMP HOLDS FIRST RALLY SINCE END OF MUELLER PROBE"
2019-03-29 00:03:00,MSNBCW,49,MSNBCW_20190329_000000_All_In_With_Chris_Hayes/start/180,SCHIFF: NOT OK TRUMP SOUGHT THE KREMLIN'S HELP. IN A DEAL THAT WOULD MAKE HIM A FORTUNE \\
2019-03-29 00:04:00,CNNW,51,CNNW_20190329_000000_Anderson_Cooper_360/start/240,"AT LEAST 3OO PAGES\nAT LEAST 3OO PAGES. . . . Ree. Adam SChiff I D Chairman, Intellioence Committee"
2019-03-29 00:04:00,FOXNEWSW,53,FOXNEWSW_20190329_000000_Tucker_Carlson_Tonight/start/240,"TRUMP: AFTER 3 YEARS OF LIES, SMEARS. & SLANDER THE RUSSIA HOAX IS FINALLY DEAD\nTRUMP: AFTER 3 YEARS OF LIES, SMEARS. & SLANDER THE RUSSIA HOAX IS EINALLY DEAD"
